company,city,state,country,description,employees,founded,revenue
Apple,Cupertino,California,USA,"American multinational technology company that designs, develops, and sells consumer electronics, computer software, and online services",164000,1976,394.33
Microsoft,Redmond,Washington,USA,"American multinational technology company that develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services.",221000,1975,198.27
Amazon,Seattle,Washington,USA,"American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence.",1541000,1994,513.98
Alphabet,Mountain View,California,USA,"American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware.",190234,1998,282.84
Alibaba Group,Hangzhou,Zhejiang,China,"Chinese multinational technology company specializing in e-commerce, retail, Internet, and technology.",239740,1999,134.57
Sony Group,Tokyo,Tokyo,Japan,"Japanese multinational conglomerate that manufactures consumer and professional electronic products, is the largest video game console company and one of the most comprehensive media companies.",108900,1946,88.3
Samsung Electronics,Suwon,Gyeonggi,South Korea,"South Korean multinational electronics company that is the world's largest manufacturer of mobile phones, smartphones, and memory chips.",266673,1969,245.7
Mercedes-Benz Group,Stuttgart,Baden-Wurttemberg,Germany,German multinational automotive corporation that is one of the world's leading car and truck manufacturers.,172425,1926,153.95
Tesla,Austin,Texas,USA,"American company that designs and manufactures electric vehicles, battery energy storage, and related products and services.",127855,2003,81.46
British Petroleum,London,England,UK,"British multinational oil and gas company involved in exploration, extraction, refining, distribution, marketing, power generation, and trading.",65900,1909,248.89
China National Petroleum Corporation,Beijing,,China,Major national oil and gas corporation of China and one of the largest integrated energy groups in the world.,1448400,1988,411.7
Saudi Aramco,Dhahran,Eastern Province,Saudi Arabia,Saudi Arabian public petroleum and natural gas company with the world's second-largest proven crude oil reserves.,66800,1933,552.25
Glencore,Baar,Zug,Switzerland,Anglo-Swiss multinational commodity trading and mining company.,135000,1974,255.98
Toyota Motor,Toyota,Aichi,Japan,Japanese multinational automotive manufacturer and one of the largest automobile manufacturers in the world.,366283,1937,267.02
Allianz,Munich,Bavaria,Germany,German multinational financial services company with core businesses of insurance and asset management.,155411,1890,161.44
